country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB","06-01-2025 23:00:00",25.5586,91.8985,OZONE,22,65,44
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","06-01-2025 23:00:00",19.26777,72.97182,OZONE,36,134,95
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","06-01-2025 23:00:00",19.222279,72.957979,OZONE,34,98,87
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB","06-01-2025 23:00:00",20.021503,73.813844,OZONE,2,74,41
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","06-01-2025 23:00:00",20.832874,85.104082,OZONE,6,83,44
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB","06-01-2025 23:00:00",20.9360711,85.1707021,OZONE,3,73,27
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","06-01-2025 23:00:00","20.48891     ","85.84768     ",OZONE,3,144,57
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","06-01-2025 23:00:00",26.960669,75.771817,OZONE,9,88,50
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB","06-01-2025 23:00:00",25.106006,76.469948,OZONE,4,55,33
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","06-01-2025 23:00:00",25.747299,71.393989,OZONE,43,84,63
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","06-01-2025 23:00:00",24.892047,74.623527,OZONE,17,149,93
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","06-01-2025 23:00:00",28.108988,75.386577,OZONE,4,97,51
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","06-01-2025 23:00:00",25.771061," 73.340227",OZONE,10,51,35
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB","06-01-2025 23:00:00",28.018792,73.292658,OZONE,9,95,58
